00 worldspawn
01 player
02 air_bubbles
03 ambient_comp_hum
04 ambient_drip
05 ambient_drone
06 ambient_suck_wind
07 ambient_swamp1
08 ambient_swamp2
09 event_lightning
0a func_bossgate
0b func_button
0c func_door
0d func_door_secret
0e func_episodegate
0f func_illusionary
10 func_plat
11 func_train
12 func_wall
13 info_intermission
14 info_null
15 info_player_coop
16 info_player_deathmatch
17 info_player_start
18 info_player_start2
19 info_teleport_destination
1a item_armor1
1b item_armor2
1c item_armorInv
1d item_artifact_envirosuit
1e item_artifact_invisibility
1f item_artifact_invulnerability
20 item_artifact_super_damage
21 item_cells
22 item_health
23 item_key1
24 item_key2
25 item_rockets
26 item_shells
27 item_sigil
28 item_spikes
29 item_weapon
2a light
2b light_flame_large_yellow
2c light_flame_small_white
2d light_flame_small_yellow
2e light_fluoro
2f light_fluorospark
30 light_globe
31 light_torch_small_walltorch
32 misc_explobox
33 misc_explobox2
34 misc_fireball
35 misc_teleporttrain
36 monster_army
37 monster_boss
38 monster_demon1
39 monster_dog
3a monster_enforcer
3b monster_fish
3c monster_hell_knight
3d monster_knight
3e monster_ogre
3f monster_oldone
40 monster_shalrath
41 monster_shambler
42 monster_tarbaby
43 monster_wizard
44 monster_zombie
45 path_corner
46 trap_spikeshooter
47 trigger_changelevel
48 trigger_counter
49 trigger_hurt
4a trigger_monsterjump
4b trigger_multiple
4c trigger_once
4d trigger_onlyregistered
4e trigger_push
4f trigger_relay
50 trigger_secret
51 trigger_setskill
52 trigger_teleport
53 weapon_grenadelauncher
54 weapon_lightning
55 weapon_nailgun
56 weapon_rocketlauncher
57 weapon_supernailgun
58 weapon_supershotgun
59 temp_entity
5a spike
5b grenade
5c rocket
5d delayed_use
5e viewthing
